exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,4.47931,0.5956,0.3541,9.045e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",4,4.509383,0.5959,0.366,7.939e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",5,4.333569,0.6138,0.3735,6.545e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",6,4.434609,0.5966,0.3356,5e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",7,4.399288,0.6045,0.3463,3.455e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",8,4.297363,0.6092,0.3713,2.061e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",9,4.249848,0.6067,0.3936,9.55e-06
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",10,4.225263,0.6123,0.391,2.45e-06
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",11,4.240867,0.6152,0.3858,0.0001
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",12,5.224931,0.5949,0.1204,9.938e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",13,4.506134,0.5912,0.3583,9.755e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",14,4.423914,0.5886,0.3509,9.455e-05
